"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,5,NA,5,NA,NA,NA
2020-03-22,16,NA,16,NA,NA,NA
2020-03-29,43,NA,43,NA,NA,NA
2020-04-05,47,NA,47,NA,NA,NA
2020-04-12,73,NA,73,NA,NA,NA
2020-04-19,89,NA,89,NA,NA,NA
2020-04-26,140,NA,140,NA,NA,NA
2020-05-03,145,NA,145,NA,NA,NA
2020-05-10,150,NA,150,NA,NA,NA
2020-05-17,123,NA,123,NA,NA,NA
2020-05-24,135,NA,135,NA,NA,NA
2020-05-31,111,NA,111,NA,NA,NA
2020-06-07,120,NA,120,NA,NA,NA
2020-06-14,75,NA,75,NA,NA,NA
2020-06-21,78,NA,78,NA,NA,NA
2020-06-28,68,NA,68,NA,NA,NA
2020-07-05,72,NA,72,NA,NA,NA
2020-07-12,56,NA,56,NA,NA,NA
2020-07-19,56,NA,56,NA,NA,NA
2020-07-26,52,NA,52,NA,NA,NA
2020-08-02,61,NA,61,NA,NA,NA
2020-08-09,59,NA,59,NA,NA,NA
2020-08-16,57,NA,57,NA,NA,NA
2020-08-23,64,NA,64,NA,NA,NA
2020-08-30,80,NA,80,NA,NA,NA
2020-09-06,89,NA,89,NA,NA,NA
2020-09-13,59,NA,59,NA,NA,NA
2020-09-20,64,NA,64,NA,NA,NA
2020-09-27,71,NA,71,NA,NA,NA
2020-10-04,79,NA,79,NA,NA,NA
2020-10-11,78,NA,78,NA,NA,NA
2020-10-18,73,NA,73,NA,NA,NA
2020-10-25,101,NA,101,NA,NA,NA
2020-11-01,107,NA,107,NA,NA,NA
2020-11-08,129,NA,129,NA,NA,NA
2020-11-15,177,NA,177,NA,NA,NA
2020-11-22,190,NA,190,NA,NA,NA
2020-11-29,214,NA,214,NA,NA,NA
2020-12-06,250,NA,250,NA,NA,NA
2020-12-13,201,NA,201,NA,NA,NA
2020-12-20,148,NA,148,NA,NA,NA
2020-12-27,141,NA,141,NA,NA,NA
2021-01-03,132,NA,132,NA,NA,NA
2021-01-10,116,NA,116,NA,NA,NA
2021-01-17,86,NA,86,NA,NA,NA
2021-01-24,79,NA,79,NA,NA,NA
2021-01-31,48,NA,48,NA,NA,NA
2021-02-07,76,NA,76,NA,NA,NA
2021-02-14,66,NA,66,NA,NA,NA
2021-02-21,80,NA,80,NA,NA,NA
2021-02-28,101,NA,101,NA,NA,NA
2021-03-07,175,NA,175,NA,NA,NA
2021-03-14,201,NA,201,NA,NA,NA
2021-03-21,202,NA,202,NA,NA,NA
2021-03-28,207,NA,207,NA,NA,NA
2021-04-04,150,NA,150,NA,NA,NA
2021-04-11,168,NA,168,NA,NA,NA
2021-04-18,166,NA,166,NA,NA,NA
2021-04-25,160,NA,160,NA,NA,NA
2021-05-02,171,NA,171,NA,NA,NA
2021-05-09,185,NA,185,NA,NA,NA
2021-05-16,167,NA,167,NA,NA,NA
2021-05-23,149,NA,149,NA,NA,NA
2021-05-30,130,NA,130,NA,NA,NA
2021-06-06,101,NA,101,NA,NA,NA
2021-06-13,68,NA,68,NA,NA,NA
2021-06-20,68,NA,68,NA,NA,NA
2021-06-27,57,NA,57,NA,NA,NA
2021-07-04,64,NA,64,NA,NA,NA
2021-07-11,64,NA,64,NA,NA,NA
2021-07-18,50,NA,50,NA,NA,NA
2021-07-25,65,NA,65,NA,NA,NA
2021-08-01,52,NA,52,NA,NA,NA
2021-08-08,75,NA,75,NA,NA,NA
